dihard2019_ivectors_15_1, {"der": 5.15, "eer": 3.812, "dcf": 0.4702}, {"der": 4.79, "eer": 3.114, "dcf": 0.4334}, {"der": 4.970000000000001, "eer": 3.463, "dcf": 0.4518}
dihard2019_ivectors_5_0, {"der": 5.86, "eer": 5.263, "dcf": 0.5571}, {"der": 6.11, "eer": 5.358, "dcf": 0.6185}, {"der": 5.985, "eer": 5.310499999999999, "dcf": 0.5878000000000001}
dihard2019_ivectors_5_1, {"der": 7.52, "eer": 6.698, "dcf": 0.6747}, {"der": 9.28, "eer": 8.087, "dcf": 0.8488}, {"der": 8.399999999999999, "eer": 7.3925, "dcf": 0.7617499999999999}
dihard2019_ivectors_5_0, {"der": 6.9, "eer": 5.448, "dcf": 0.5801}, {"der": 6.48, "eer": 5.58, "dcf": 0.5537}, {"der": 6.69, "eer": 5.514, "dcf": 0.5669}
dihard2019_ivectors_5_1, {"der": 5.97, "eer": 4.919, "dcf": 0.5608}, {"der": 6.21, "eer": 4.716, "dcf": 0.5421}, {"der": 6.09, "eer": 4.8175, "dcf": 0.55145}
dihard2019_ivectors_5_2, {"der": 6.45, "eer": 6.052, "dcf": 0.5646}, {"der": 6.19, "eer": 5.101, "dcf": 0.6938}, {"der": 6.32, "eer": 5.576499999999999, "dcf": 0.6292}
dihard2019_ivectors_10_0, {"der": 5.81, "eer": 5.036, "dcf": 0.6378}, {"der": 5.59, "eer": 4.244, "dcf": 0.5269}, {"der": 5.699999999999999, "eer": 4.64, "dcf": 0.58235}
dihard2019_ivectors_10_1, {"der": 5.41, "eer": 4.068, "dcf": 0.5161}, {"der": 5.97, "eer": 4.7, "dcf": 0.5141}, {"der": 5.6899999999999995, "eer": 4.384, "dcf": 0.5151}
dihard2019_ivectors_10_2, {"der": 4.95, "eer": 4.01, "dcf": 0.5069}, {"der": 5.45, "eer": 4.119, "dcf": 0.4558}, {"der": 5.2, "eer": 4.0645, "dcf": 0.48135}
dihard2019_ivectors_15_0, {"der": 4.98, "eer": 3.886, "dcf": 0.5558}, {"der": 5.2, "eer": 3.625, "dcf": 0.4417}, {"der": 5.09, "eer": 3.7555, "dcf": 0.49874999999999997}
